# id free-exercise-db<TAB>český název (návrh). Upravuj ručně, pak spusť build.py.
3_4_Sit-Up	Sedy-lehy do tří čtvrtin
90_90_Hamstring	Protažení hamstringů 90/90
Ab_Crunch_Machine	Zkracovačky na stroji
Ab_Roller	Břišní kolečko
Adductor	Masáž válcem – přitahovače
Adductor_Groin	Protažení třísel
Advanced_Kettlebell_Windmill	Pokročilý mlýnek s kettlebellem
Air_Bike	Kolo vleže (bicycle crunch)
All_Fours_Quad_Stretch	Protažení stehna v kleku na čtyřech
Alternate_Hammer_Curl	Střídavý kladivový zdvih
Alternate_Heel_Touchers	Střídavé dotyky pat
Alternate_Incline_Dumbbell_Curl	Střídavý bicepsový zdvih na šikmé lavici
Alternate_Leg_Diagonal_Bound	Střídavé diagonální odrazy
Alternating_Cable_Shoulder_Press	Střídavý tlak nad hlavu na kladkách
Alternating_Deltoid_Raise	Střídavé zdvihy jednoruček
Alternating_Floor_Press	Střídavý tlak s kettlebelly na zemi
Alternating_Hang_Clean	Střídavý přemístění s kettlebelly ze visu
Alternating_Kettlebell_Press	Střídavý tlak s kettlebelly nad hlavu
Alternating_Kettlebell_Row	Střídavé přítahy kettlebellů v předklonu
Alternating_Renegade_Row	Střídavý renegade row
Ankle_Circles	Kroužení kotníky
Ankle_On_The_Knee	Protažení s kotníkem na koleni
Anterior_Tibialis-SMR	Masáž válcem – přední strana holeně
Anti-Gravity_Press	Tlak s velkou činkou vleže na šikmé lavici (anti-gravity)
Arm_Circles	Kroužení pažemi
Arnold_Dumbbell_Press	Arnoldův tlak
Around_The_Worlds	Kruhy s jednoručkami vleže
Atlas_Stone_Trainer	Atlas stone (trenažér)
Atlas_Stones	Atlas stones (kameny)
Axle_Deadlift	Mrtvý tah s tlustou osou
Back_Flyes_-_With_Bands	Zapažování s gumou
Backward_Drag	Tažení saní pozpátku
Backward_Medicine_Ball_Throw	Hod medicinbalem vzad
Balance_Board	Balanční deska
Ball_Leg_Curl	Zakopávání s míčem
Band_Assisted_Pull-Up	Shyby s dopomocí gumy
Band_Good_Morning	Předklony s gumou (good morning)
Band_Good_Morning_Pull_Through	Protahování gumy mezi nohama (pull through)
Band_Hip_Adductions	Přitahování nohy s gumou
Band_Pull_Apart	Roztahování gumy
Band_Skull_Crusher	Francouzský tlak s gumou
Barbell_Ab_Rollout	Rollout s velkou činkou
Barbell_Ab_Rollout_-_On_Knees	Rollout s velkou činkou na kolenou
Barbell_Bench_Press_-_Medium_Grip	Bench press s velkou činkou
Barbell_Curl	Bicepsový zdvih s velkou činkou
Barbell_Curls_Lying_Against_An_Incline	Bicepsový zdvih vleže na šikmé lavici
Barbell_Deadlift	Mrtvý tah
Barbell_Full_Squat	Hluboký dřep s velkou činkou
Barbell_Glute_Bridge	Hýžďový most s velkou činkou
Barbell_Guillotine_Bench_Press	Gilotinový bench press
Barbell_Hack_Squat	Hack dřep s činkou za tělem
Barbell_Hip_Thrust	Hip thrust s velkou činkou
Barbell_Incline_Bench_Press_-_Medium_Grip	Bench press na šikmé lavici
Barbell_Incline_Shoulder_Raise	Předsun ramen s činkou na šikmé lavici
Barbell_Lunge	Výpady s velkou činkou
Barbell_Rear_Delt_Row	Přítahy velké činky pro zadní ramena
Barbell_Rollout_from_Bench	Rollout s velkou činkou z lavice
Barbell_Seated_Calf_Raise	Výpony vsedě s velkou činkou
Barbell_Shoulder_Press	Tlak s velkou činkou nad hlavu
Barbell_Shrug	Krčení ramen s velkou činkou
Barbell_Shrug_Behind_The_Back	Krčení ramen s činkou za tělem
Barbell_Side_Bend	Úklony s velkou činkou
Barbell_Side_Split_Squat	Boční výpadový dřep s velkou činkou
Barbell_Squat	Dřep s velkou činkou
Barbell_Squat_To_A_Bench	Dřep s velkou činkou na lavici
Barbell_Step_Ups	Výstupy na lavici s velkou činkou
Barbell_Walking_Lunge	Výpady v chůzi s velkou činkou
Battling_Ropes	Bojová lana
Bear_Crawl_Sled_Drags	Tažení saní v medvědí chůzi
Behind_Head_Chest_Stretch	Protažení hrudníku s rukama za hlavou
Bench_Dips	Kliky vzad o lavici
Bench_Jump	Přeskoky lavice
Bench_Press_-_Powerlifting	Bench press (silový trojboj)
Bench_Press_-_With_Bands	Bench press s gumami
Bench_Press_with_Chains	Bench press s řetězy
Bench_Sprint	Střídavé výstupy na lavici (sprint)
Bent-Arm_Barbell_Pullover	Pullover s velkou činkou s pokrčenými pažemi
Bent-Arm_Dumbbell_Pullover	Pullover s jednoručkou s pokrčenými pažemi
Bent-Knee_Hip_Raise	Zvedání pánve s pokrčenými koleny
Bent_Over_Barbell_Row	Přítahy velké činky v předklonu
Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench	Zapažování s hlavou opřenou o lavici
Bent_Over_Low-Pulley_Side_Lateral	Zapažování na spodní kladce v předklonu
Bent_Over_One-Arm_Long_Bar_Row	Jednoruční přítahy osy v předklonu (landmine)
Bent_Over_Two-Arm_Long_Bar_Row	Přítahy osy v předklonu oběma rukama (landmine)
Bent_Over_Two-Dumbbell_Row	Přítahy jednoruček v předklonu
Bent_Over_Two-Dumbbell_Row_With_Palms_In	Přítahy jednoruček v předklonu neutrálním úchopem
Bent_Press	Bent press s kettlebellem
Bicycling	Jízda na kole
Bicycling_Stationary	Rotoped
Board_Press	Board press
Body-Up	Body-up (z předloktí do vzporu)
Body_Tricep_Press	Tricepsový tlak vlastní vahou
Bodyweight_Flyes	Rozpažování vlastní vahou
Bodyweight_Mid_Row	Přítahy vlastní vahou (TRX)
Bodyweight_Squat	Dřep s vlastní vahou
Bodyweight_Walking_Lunge	Výpady v chůzi s vlastní vahou
Bosu_Ball_Cable_Crunch_With_Side_Bends	Zkracovačky na kladce na bosu s úklony
Bottoms-Up_Clean_From_The_Hang_Position	Přemístění kettlebellu dnem vzhůru ze visu
Bottoms_Up	Zvedání pánve vleže (bottoms up)
Box_Jump_Multiple_Response	Opakované výskoky na bednu
Box_Skip	Skipink na bednu
Box_Squat	Dřep na bednu s činkou
Box_Squat_with_Bands	Dřep na bednu s gumami
Box_Squat_with_Chains	Dřep na bednu s řetězy
Brachialis-SMR	Masáž válcem – brachialis
Bradford_Rocky_Presses	Tlaky nad hlavu přes hlavu (Bradford press)
Butt-Ups	Zvedání pánve ve vzporu (butt-ups)
Butt_Lift_Bridge	Hýžďový most
Butterfly	Rozpažování na stroji (butterfly)
Cable_Chest_Press	Tlak na hrudník na kladkách
Cable_Crossover	Rozpažování na kladkách (crossover)
Cable_Crunch	Zkracovačky na kladce vkleče
Cable_Deadlifts	Mrtvý tah na kladce
Cable_Hammer_Curls_-_Rope_Attachment	Kladivový zdvih na kladce s lanem
Cable_Hip_Adduction	Přitahování nohy na kladce
Cable_Incline_Pushdown	Stlačování kladky na šikmé lavici
Cable_Incline_Triceps_Extension	Tricepsové extenze na kladce na šikmé lavici
Cable_Internal_Rotation	Vnitřní rotace ramene na kladce
Cable_Iron_Cross	Železný kříž na kladkách
Cable_Judo_Flip	Judo hod na kladce
Cable_Lying_Triceps_Extension	Tricepsové extenze vleže na kladce
Cable_One_Arm_Tricep_Extension	Jednoruční tricepsové extenze na kladce
Cable_Preacher_Curl	Scottův zdvih na kladce
Cable_Rear_Delt_Fly	Zapažování na kladkách
Cable_Reverse_Crunch	Obrácené zkracovačky na kladce
Cable_Rope_Overhead_Triceps_Extension	Tricepsové extenze nad hlavou s lanem
Cable_Rope_Rear-Delt_Rows	Přítahy lana na kladce pro zadní ramena
Cable_Russian_Twists	Ruský twist na kladce
Cable_Seated_Crunch	Zkracovačky vsedě na kladce
Cable_Seated_Lateral_Raise	Upažování vsedě na kladce
Cable_Shoulder_Press	Tlak nad hlavu na kladkách
Cable_Shrugs	Krčení ramen na kladce
Cable_Wrist_Curl	Zápěstní zdvihy na kladce
Calf-Machine_Shoulder_Shrug	Krčení ramen na stroji na lýtka
Calf_Press	Výpony na stroji
Calf_Press_On_The_Leg_Press_Machine	Výpony na leg pressu
Calf_Raise_On_A_Dumbbell	Výpony na jednoručce
Calf_Raises_-_With_Bands	Výpony s gumou
Calf_Stretch_Elbows_Against_Wall	Protažení lýtek s lokty o zeď
Calf_Stretch_Hands_Against_Wall	Protažení lýtek s rukama o zeď
Calves-SMR	Masáž válcem – lýtka
Car_Deadlift	Mrtvý tah auta
Car_Drivers	Volant s velkou činkou (car drivers)
Carioca_Quick_Step	Carioca (překřižované kroky)
Cat_Stretch	Kočičí hřbet
Catch_and_Overhead_Throw	Chycení a hod medicinbalem nad hlavou
Chain_Handle_Extension	Tricepsové extenze s řetězy
Chain_Press	Tlak s řetězy
Chair_Leg_Extended_Stretch	Protažení nohy na židli
Chair_Lower_Back_Stretch	Protažení spodních zad na židli
Chair_Squat	Dřep na židli
Chair_Upper_Body_Stretch	Protažení horní části těla na židli
Chest_And_Front_Of_Shoulder_Stretch	Protažení hrudníku a předních ramen
Chest_Push_from_3_point_stance	Odhod medicinbalu z hrudníku ze tříbodového postoje
Chest_Push_multiple_response	Opakovaný odhod medicinbalu z hrudníku
Chest_Push_single_response	Odhod medicinbalu z hrudníku
Chest_Push_with_Run_Release	Odhod medicinbalu z hrudníku s rozběhem
Chest_Stretch_on_Stability_Ball	Protažení hrudníku na gymnastickém míči
Childs_Pose	Pozice dítěte
Chin-Up	Shyby podhmatem
Chin_To_Chest_Stretch	Protažení šíje (brada k hrudi)
Circus_Bell	Circus bell (tlak nad hlavu)
Clean	Přemístění (clean)
Clean_Deadlift	Mrtvý tah v úchopu na přemístění
Clean_Pull	Přítah na přemístění (clean pull)
Clean_Shrug	Krčení ramen z přemístění
Clean_and_Jerk	Nadhoz (clean and jerk)
Clean_and_Press	Přemístění a tlak nad hlavu
Clean_from_Blocks	Přemístění z bloků
Clock_Push-Up	Kliky do kruhu (hodiny)
Close-Grip_Barbell_Bench_Press	Bench press úzkým úchopem
Close-Grip_Dumbbell_Press	Tlak s jednoručkami u sebe
Close-Grip_EZ-Bar_Curl_with_Band	Bicepsový zdvih s EZ činkou a gumou úzkým úchopem
Close-Grip_EZ-Bar_Press	Tlak s EZ činkou úzkým úchopem
