# id free-exercise-db<TAB>id cviku ve výchozí databázi appky (EX_DB). Stejný cvik → v hledání „už máš“.
Ab_Crunch_Machine	crunch-machine
Ab_Roller	ab-wheel
Alternate_Hammer_Curl	hammer-curl-dumbbell
Alternate_Incline_Dumbbell_Curl	seated-incline-curl-dumbbell
Arnold_Dumbbell_Press	arnold-press-dumbbell
Around_The_Worlds	around-the-world
Band_Pull_Apart	band-pullaparts
Barbell_Bench_Press_-_Medium_Grip	bench-press-barbell
Barbell_Curl	bicep-curl-barbell
Barbell_Deadlift	deadlift-barbell
Barbell_Full_Squat	full-squat
Barbell_Glute_Bridge	glute-bridge-barbell
Barbell_Hack_Squat	hack-squat-barbell
Barbell_Hip_Thrust	hip-thrust-barbell
Barbell_Incline_Bench_Press_-_Medium_Grip	incline-bench-press-barbell
Barbell_Lunge	lunge-barbell
Barbell_Shoulder_Press	seated-overhead-press-barbell
Barbell_Shrug	shrug-barbell
Barbell_Squat	squat-barbell
Bench_Dips	bench-dip
Bent-Arm_Dumbbell_Pullover	pullover-dumbbell
Bent_Over_Barbell_Row	bent-over-row-barbell
Bent_Over_One-Arm_Long_Bar_Row	landmine-row
Bent_Over_Two-Dumbbell_Row	bent-over-row-dumbbell
Bodyweight_Squat	squat-bodyweight
Bodyweight_Walking_Lunge	walking-lunge
Box_Squat	box-squat-barbell
Butt_Lift_Bridge	glute-bridge
Butterfly	chest-fly-machine
Cable_Chest_Press	bench-press-cable
Cable_Crossover	cable-fly-crossovers
Cable_Crunch	cable-crunch
Cable_Hammer_Curls_-_Rope_Attachment	hammer-curl-cable
Cable_Hip_Adduction	hip-adduction-cable
Cable_Rear_Delt_Fly	rear-delt-fly-cable
Cable_Rope_Overhead_Triceps_Extension	overhead-triceps-extension-cable
Cable_Shrugs	shrug-cable
Calf_Press	leg-press-calf-raise
Calf_Press_On_The_Leg_Press_Machine	leg-press-calf-raise
Chin-Up	chin-up
Close-Grip_Barbell_Bench_Press	close-grip-bench-press
Close-Grip_Dumbbell_Press	dumbbell-squeeze-press
Close-Grip_Front_Lat_Pulldown	lat-pulldown-close-grip-cable
Concentration_Curls	concentration-curl
Cross_Body_Hammer_Curl	cross-body-hammer-curl
Crunches	crunch
Dead_Bug	dead-bug
